"CD";"ND";"DESTINO";"NACION";"HOMBRES";"MUJERES";"TOTAL"
" 01";"CASCO ANTIGUO";"- FUERA DE LA PROVINCIA DE SEVILLA";"ESPAÑOLES";442;432;874
" 01";"CASCO ANTIGUO";"- FUERA DE LA PROVINCIA DE SEVILLA";"EXTRANJEROS";71;104;175
" 01";"CASCO ANTIGUO";"- FUERA DE LA PROVINCIA DE SEVILLA";"TOTAL POBLACION";513;536;1049
" 01";"CASCO ANTIGUO";"- PROVINCIA DE SEVILLA";"ESPAÑOLES";322;298;620
" 01";"CASCO ANTIGUO";"- PROVINCIA DE SEVILLA";"EXTRANJEROS";31;34;65
" 01";"CASCO ANTIGUO";"- PROVINCIA DE SEVILLA";"TOTAL POBLACION";353;332;685
" 01";"CASCO ANTIGUO";"ALANIS";"ESPAÑOLES";0;1;1
" 01";"CASCO ANTIGUO";"ALANIS";"TOTAL POBLACION";0;1;1
" 01";"CASCO ANTIGUO";"ALBAIDA DEL ALJARAFE";"ESPAÑOLES";1;1;2
" 01";"CASCO ANTIGUO";"ALBAIDA DEL ALJARAFE";"TOTAL POBLACION";1;1;2
" 01";"CASCO ANTIGUO";"ALCALA DE GUADAIRA";"ESPAÑOLES";15;9;24
" 01";"CASCO ANTIGUO";"ALCALA DE GUADAIRA";"EXTRANJEROS";1;7;8
" 01";"CASCO ANTIGUO";"ALCALA DE GUADAIRA";"TOTAL POBLACION";16;16;32
" 01";"CASCO ANTIGUO";"ALCALA DEL RIO";"ESPAÑOLES";3;3;6
" 01";"CASCO ANTIGUO";"ALCALA DEL RIO";"TOTAL POBLACION";3;3;6
" 01";"CASCO ANTIGUO";"ALGABA (LA)";"ESPAÑOLES";3;12;15
" 01";"CASCO ANTIGUO";"ALGABA (LA)";"TOTAL POBLACION";3;12;15
" 01";"CASCO ANTIGUO";"ALMADEN DE LA PLATA";"ESPAÑOLES";1;0;1
" 01";"CASCO ANTIGUO";"ALMADEN DE LA PLATA";"TOTAL POBLACION";1;0;1
" 01";"CASCO ANTIGUO";"ALMENSILLA";"ESPAÑOLES";3;2;5
" 01";"CASCO ANTIGUO";"ALMENSILLA";"EXTRANJEROS";0;1;1
" 01";"CASCO ANTIGUO";"ALMENSILLA";"TOTAL POBLACION";3;3;6
" 01";"CASCO ANTIGUO";"ARAHAL (EL)";"ESPAÑOLES";0;2;2
" 01";"CASCO ANTIGUO";"ARAHAL (EL)";"TOTAL POBLACION";0;2;2
" 01";"CASCO ANTIGUO";"AZNALCAZAR";"ESPAÑOLES";2;2;4
" 01";"CASCO ANTIGUO";"AZNALCAZAR";"EXTRANJEROS";1;0;1
" 01";"CASCO ANTIGUO";"AZNALCAZAR";"TOTAL POBLACION";3;2;5
" 01";"CASCO ANTIGUO";"AZNALCOLLAR";"ESPAÑOLES";2;0;2
" 01";"CASCO ANTIGUO";"AZNALCOLLAR";"TOTAL POBLACION";2;0;2
" 01";"CASCO ANTIGUO";"BENACAZON";"ESPAÑOLES";0;1;1
" 01";"CASCO ANTIGUO";"BENACAZON";"TOTAL POBLACION";0;1;1
" 01";"CASCO ANTIGUO";"BOLLULLOS DE LA MITACION";"ESPAÑOLES";11;7;18
" 01";"CASCO ANTIGUO";"BOLLULLOS DE LA MITACION";"EXTRANJEROS";1;0;1
" 01";"CASCO ANTIGUO";"BOLLULLOS DE LA MITACION";"TOTAL POBLACION";12;7;19
" 01";"CASCO ANTIGUO";"BORMUJOS";"ESPAÑOLES";13;10;23
" 01";"CASCO ANTIGUO";"BORMUJOS";"EXTRANJEROS";2;2;4
" 01";"CASCO ANTIGUO";"BORMUJOS";"TOTAL POBLACION";15;12;27
" 01";"CASCO ANTIGUO";"BRENES";"ESPAÑOLES";2;1;3
" 01";"CASCO ANTIGUO";"BRENES";"TOTAL POBLACION";2;1;3
" 01";"CASCO ANTIGUO";"BURGUILLOS";"ESPAÑOLES";3;1;4
" 01";"CASCO ANTIGUO";"BURGUILLOS";"TOTAL POBLACION";3;1;4
" 01";"CASCO ANTIGUO";"CAMAS";"ESPAÑOLES";24;10;34
" 01";"CASCO ANTIGUO";"CAMAS";"EXTRANJEROS";0;4;4
" 01";"CASCO ANTIGUO";"CAMAS";"TOTAL POBLACION";24;14;38
" 01";"CASCO ANTIGUO";"CANTILLANA";"ESPAÑOLES";4;2;6
" 01";"CASCO ANTIGUO";"CANTILLANA";"TOTAL POBLACION";4;2;6
" 01";"CASCO ANTIGUO";"CARMONA";"ESPAÑOLES";6;8;14
" 01";"CASCO ANTIGUO";"CARMONA";"EXTRANJEROS";2;2;4
" 01";"CASCO ANTIGUO";"CARMONA";"TOTAL POBLACION";8;10;18
" 01";"CASCO ANTIGUO";"CARRION DE LOS CESPEDES";"ESPAÑOLES";0;2;2
" 01";"CASCO ANTIGUO";"CARRION DE LOS CESPEDES";"TOTAL POBLACION";0;2;2
" 01";"CASCO ANTIGUO";"CASTILBLANCO DE LOS ARROYOS";"ESPAÑOLES";1;2;3
" 01";"CASCO ANTIGUO";"CASTILBLANCO DE LOS ARROYOS";"EXTRANJEROS";0;1;1
" 01";"CASCO ANTIGUO";"CASTILBLANCO DE LOS ARROYOS";"TOTAL POBLACION";1;3;4
" 01";"CASCO ANTIGUO";"CASTILLEJA DE GUZMAN";"ESPAÑOLES";5;4;9
" 01";"CASCO ANTIGUO";"CASTILLEJA DE GUZMAN";"TOTAL POBLACION";5;4;9
" 01";"CASCO ANTIGUO";"CASTILLEJA DE LA CUESTA";"ESPAÑOLES";9;7;16
" 01";"CASCO ANTIGUO";"CASTILLEJA DE LA CUESTA";"EXTRANJEROS";1;1;2
" 01";"CASCO ANTIGUO";"CASTILLEJA DE LA CUESTA";"TOTAL POBLACION";10;8;18
" 01";"CASCO ANTIGUO";"CAZALLA DE LA SIERRA";"ESPAÑOLES";1;1;2
" 01";"CASCO ANTIGUO";"CAZALLA DE LA SIERRA";"TOTAL POBLACION";1;1;2
" 01";"CASCO ANTIGUO";"CORIA DEL RIO";"ESPAÑOLES";9;6;15
" 01";"CASCO ANTIGUO";"CORIA DEL RIO";"EXTRANJEROS";2;0;2
" 01";"CASCO ANTIGUO";"CORIA DEL RIO";"TOTAL POBLACION";11;6;17
" 01";"CASCO ANTIGUO";"DOS HERMANAS";"ESPAÑOLES";27;27;54
" 01";"CASCO ANTIGUO";"DOS HERMANAS";"EXTRANJEROS";6;3;9
" 01";"CASCO ANTIGUO";"DOS HERMANAS";"TOTAL POBLACION";33;30;63
" 01";"CASCO ANTIGUO";"ECIJA";"ESPAÑOLES";2;3;5
" 01";"CASCO ANTIGUO";"ECIJA";"TOTAL POBLACION";2;3;5
" 01";"CASCO ANTIGUO";"ESPARTINAS";"ESPAÑOLES";7;13;20
" 01";"CASCO ANTIGUO";"ESPARTINAS";"TOTAL POBLACION";7;13;20
" 01";"CASCO ANTIGUO";"ESTEPA";"ESPAÑOLES";2;1;3
" 01";"CASCO ANTIGUO";"ESTEPA";"TOTAL POBLACION";2;1;3
" 01";"CASCO ANTIGUO";"GELVES";"ESPAÑOLES";4;5;9
" 01";"CASCO ANTIGUO";"GELVES";"TOTAL POBLACION";4;5;9
" 01";"CASCO ANTIGUO";"GERENA";"ESPAÑOLES";0;2;2
" 01";"CASCO ANTIGUO";"GERENA";"EXTRANJEROS";1;0;1
" 01";"CASCO ANTIGUO";"GERENA";"TOTAL POBLACION";1;2;3
" 01";"CASCO ANTIGUO";"GINES";"ESPAÑOLES";8;14;22
" 01";"CASCO ANTIGUO";"GINES";"TOTAL POBLACION";8;14;22
" 01";"CASCO ANTIGUO";"GUADALCANAL";"ESPAÑOLES";1;0;1
" 01";"CASCO ANTIGUO";"GUADALCANAL";"TOTAL POBLACION";1;0;1
" 01";"CASCO ANTIGUO";"GUILLENA";"ESPAÑOLES";4;3;7
" 01";"CASCO ANTIGUO";"GUILLENA";"TOTAL POBLACION";4;3;7
" 01";"CASCO ANTIGUO";"HERRERA";"ESPAÑOLES";1;0;1
" 01";"CASCO ANTIGUO";"HERRERA";"TOTAL POBLACION";1;0;1
" 01";"CASCO ANTIGUO";"HUEVAR DEL ALJARAFE";"ESPAÑOLES";3;0;3
" 01";"CASCO ANTIGUO";"HUEVAR DEL ALJARAFE";"TOTAL POBLACION";3;0;3
" 01";"CASCO ANTIGUO";"ISLA MAYOR";"ESPAÑOLES";0;2;2
" 01";"CASCO ANTIGUO";"ISLA MAYOR";"TOTAL POBLACION";0;2;2
" 01";"CASCO ANTIGUO";"LEBRIJA";"ESPAÑOLES";0;1;1
" 01";"CASCO ANTIGUO";"LEBRIJA";"EXTRANJEROS";1;1;2
" 01";"CASCO ANTIGUO";"LEBRIJA";"TOTAL POBLACION";1;2;3
" 01";"CASCO ANTIGUO";"LORA DEL RIO";"ESPAÑOLES";1;1;2
" 01";"CASCO ANTIGUO";"LORA DEL RIO";"EXTRANJEROS";0;1;1
" 01";"CASCO ANTIGUO";"LORA DEL RIO";"TOTAL POBLACION";1;2;3
" 01";"CASCO ANTIGUO";"MADROÑO (EL)";"ESPAÑOLES";1;0;1
" 01";"CASCO ANTIGUO";"MADROÑO (EL)";"TOTAL POBLACION";1;0;1
" 01";"CASCO ANTIGUO";"MAIRENA DEL ALCOR";"ESPAÑOLES";2;2;4
" 01";"CASCO ANTIGUO";"MAIRENA DEL ALCOR";"EXTRANJEROS";0;1;1
" 01";"CASCO ANTIGUO";"MAIRENA DEL ALCOR";"TOTAL POBLACION";2;3;5
" 01";"CASCO ANTIGUO";"MAIRENA DEL ALJARAFE";"ESPAÑOLES";34;29;63
" 01";"CASCO ANTIGUO";"MAIRENA DEL ALJARAFE";"EXTRANJEROS";3;4;7
" 01";"CASCO ANTIGUO";"MAIRENA DEL ALJARAFE";"TOTAL POBLACION";37;33;70
" 01";"CASCO ANTIGUO";"MARCHENA";"ESPAÑOLES";2;2;4
" 01";"CASCO ANTIGUO";"MARCHENA";"TOTAL POBLACION";2;2;4
" 01";"CASCO ANTIGUO";"MORON DE LA FRONTERA";"ESPAÑOLES";1;4;5
" 01";"CASCO ANTIGUO";"MORON DE LA FRONTERA";"TOTAL POBLACION";1;4;5
" 01";"CASCO ANTIGUO";"OLIVARES";"ESPAÑOLES";1;4;5
" 01";"CASCO ANTIGUO";"OLIVARES";"TOTAL POBLACION";1;4;5
" 01";"CASCO ANTIGUO";"OSUNA";"ESPAÑOLES";1;1;2
" 01";"CASCO ANTIGUO";"OSUNA";"TOTAL POBLACION";1;1;2
" 01";"CASCO ANTIGUO";"PALACIOS Y VILLAFRANCA (LOS)";"ESPAÑOLES";2;1;3
" 01";"CASCO ANTIGUO";"PALACIOS Y VILLAFRANCA (LOS)";"TOTAL POBLACION";2;1;3
" 01";"CASCO ANTIGUO";"PALMAR DE TROYA (EL)";"EXTRANJEROS";1;0;1
" 01";"CASCO ANTIGUO";"PALMAR DE TROYA (EL)";"TOTAL POBLACION";1;0;1
" 01";"CASCO ANTIGUO";"PALOMARES DEL RIO";"ESPAÑOLES";5;6;11
" 01";"CASCO ANTIGUO";"PALOMARES DEL RIO";"EXTRANJEROS";0;1;1
" 01";"CASCO ANTIGUO";"PALOMARES DEL RIO";"TOTAL POBLACION";5;7;12
" 01";"CASCO ANTIGUO";"PARADAS";"ESPAÑOLES";0;1;1
" 01";"CASCO ANTIGUO";"PARADAS";"TOTAL POBLACION";0;1;1
" 01";"CASCO ANTIGUO";"PEDRERA";"ESPAÑOLES";1;0;1
" 01";"CASCO ANTIGUO";"PEDRERA";"TOTAL POBLACION";1;0;1
" 01";"CASCO ANTIGUO";"PEDROSO (EL)";"ESPAÑOLES";1;0;1
" 01";"CASCO ANTIGUO";"PEDROSO (EL)";"TOTAL POBLACION";1;0;1
" 01";"CASCO ANTIGUO";"PEÑAFLOR";"ESPAÑOLES";2;0;2
" 01";"CASCO ANTIGUO";"PEÑAFLOR";"EXTRANJEROS";1;0;1
" 01";"CASCO ANTIGUO";"PEÑAFLOR";"TOTAL POBLACION";3;0;3
" 01";"CASCO ANTIGUO";"PILAS";"ESPAÑOLES";2;2;4
" 01";"CASCO ANTIGUO";"PILAS";"TOTAL POBLACION";2;2;4
" 01";"CASCO ANTIGUO";"PUEBLA DE CAZALLA (LA)";"ESPAÑOLES";1;0;1
" 01";"CASCO ANTIGUO";"PUEBLA DE CAZALLA (LA)";"TOTAL POBLACION";1;0;1
" 01";"CASCO ANTIGUO";"PUEBLA DE LOS INFANTES (LA)";"ESPAÑOLES";3;3;6
" 01";"CASCO ANTIGUO";"PUEBLA DE LOS INFANTES (LA)";"TOTAL POBLACION";3;3;6
" 01";"CASCO ANTIGUO";"PUEBLA DEL RIO (LA)";"ESPAÑOLES";0;3;3
" 01";"CASCO ANTIGUO";"PUEBLA DEL RIO (LA)";"TOTAL POBLACION";0;3;3
" 01";"CASCO ANTIGUO";"REAL DE LA JARA (EL)";"ESPAÑOLES";1;2;3
" 01";"CASCO ANTIGUO";"REAL DE LA JARA (EL)";"TOTAL POBLACION";1;2;3
" 01";"CASCO ANTIGUO";"RINCONADA (LA)";"ESPAÑOLES";13;15;28
" 01";"CASCO ANTIGUO";"RINCONADA (LA)";"EXTRANJEROS";2;0;2
" 01";"CASCO ANTIGUO";"RINCONADA (LA)";"TOTAL POBLACION";15;15;30
" 01";"CASCO ANTIGUO";"RONQUILLO (EL)";"ESPAÑOLES";1;1;2
" 01";"CASCO ANTIGUO";"RONQUILLO (EL)";"TOTAL POBLACION";1;1;2
" 01";"CASCO ANTIGUO";"SALTERAS";"ESPAÑOLES";1;1;2
" 01";"CASCO ANTIGUO";"SALTERAS";"TOTAL POBLACION";1;1;2
" 01";"CASCO ANTIGUO";"SAN JUAN DE AZNALFARACHE";"ESPAÑOLES";9;9;18
" 01";"CASCO ANTIGUO";"SAN JUAN DE AZNALFARACHE";"EXTRANJEROS";1;2;3
" 01";"CASCO ANTIGUO";"SAN JUAN DE AZNALFARACHE";"TOTAL POBLACION";10;11;21
" 01";"CASCO ANTIGUO";"SANLUCAR LA MAYOR";"ESPAÑOLES";8;7;15
" 01";"CASCO ANTIGUO";"SANLUCAR LA MAYOR";"EXTRANJEROS";0;1;1
" 01";"CASCO ANTIGUO";"SANLUCAR LA MAYOR";"TOTAL POBLACION";8;8;16
" 01";"CASCO ANTIGUO";"SANTIPONCE";"ESPAÑOLES";1;1;2
" 01";"CASCO ANTIGUO";"SANTIPONCE";"TOTAL POBLACION";1;1;2
" 01";"CASCO ANTIGUO";"TOCINA";"ESPAÑOLES";2;0;2
" 01";"CASCO ANTIGUO";"TOCINA";"TOTAL POBLACION";2;0;2
" 01";"CASCO ANTIGUO";"TOMARES";"ESPAÑOLES";25;16;41
" 01";"CASCO ANTIGUO";"TOMARES";"EXTRANJEROS";3;1;4
" 01";"CASCO ANTIGUO";"TOMARES";"TOTAL POBLACION";28;17;45
" 01";"CASCO ANTIGUO";"UMBRETE";"ESPAÑOLES";6;6;12
" 01";"CASCO ANTIGUO";"UMBRETE";"TOTAL POBLACION";6;6;12
" 01";"CASCO ANTIGUO";"UTRERA";"ESPAÑOLES";3;4;7
" 01";"CASCO ANTIGUO";"UTRERA";"TOTAL POBLACION";3;4;7
" 01";"CASCO ANTIGUO";"VALENCINA DE LA CONCEPCION";"ESPAÑOLES";5;4;9
" 01";"CASCO ANTIGUO";"VALENCINA DE LA CONCEPCION";"EXTRANJEROS";2;0;2
" 01";"CASCO ANTIGUO";"VALENCINA DE LA CONCEPCION";"TOTAL POBLACION";7;4;11
" 01";"CASCO ANTIGUO";"VILLAMANRIQUE DE LA CONDESA";"ESPAÑOLES";0;1;1
" 01";"CASCO ANTIGUO";"VILLAMANRIQUE DE LA CONDESA";"TOTAL POBLACION";0;1;1
" 01";"CASCO ANTIGUO";"VILLANUEVA DEL ARISCAL";"ESPAÑOLES";3;3;6
" 01";"CASCO ANTIGUO";"VILLANUEVA DEL ARISCAL";"TOTAL POBLACION";3;3;6
" 01";"CASCO ANTIGUO";"VILLANUEVA DEL RIO Y MINAS";"ESPAÑOLES";3;1;4
" 01";"CASCO ANTIGUO";"VILLANUEVA DEL RIO Y MINAS";"TOTAL POBLACION";3;1;4
" 01";"CASCO ANTIGUO";"VILLAVERDE DEL RIO";"ESPAÑOLES";1;1;2
" 01";"CASCO ANTIGUO";"VILLAVERDE DEL RIO";"TOTAL POBLACION";1;1;2
" 01";"CASCO ANTIGUO";"VISO DEL ALCOR (EL)";"ESPAÑOLES";3;2;5
" 01";"CASCO ANTIGUO";"VISO DEL ALCOR (EL)";"EXTRANJEROS";0;1;1
" 01";"CASCO ANTIGUO";"VISO DEL ALCOR (EL)";"TOTAL POBLACION";3;3;6
" 02";"MACARENA";"- FUERA DE LA PROVINCIA DE SEVILLA";"ESPAÑOLES";364;383;747
" 02";"MACARENA";"- FUERA DE LA PROVINCIA DE SEVILLA";"EXTRANJEROS";162;201;363
" 02";"MACARENA";"- FUERA DE LA PROVINCIA DE SEVILLA";"TOTAL POBLACION";526;584;1110
" 02";"MACARENA";"- PROVINCIA DE SEVILLA";"ESPAÑOLES";405;431;836
" 02";"MACARENA";"- PROVINCIA DE SEVILLA";"EXTRANJEROS";78;123;201
" 02";"MACARENA";"- PROVINCIA DE SEVILLA";"NO CONSTA";1;0;1
" 02";"MACARENA";"- PROVINCIA DE SEVILLA";"TOTAL POBLACION";484;554;1038
" 02";"MACARENA";"ALANIS";"ESPAÑOLES";1;0;1
" 02";"MACARENA";"ALANIS";"TOTAL POBLACION";1;0;1
" 02";"MACARENA";"ALBAIDA DEL ALJARAFE";"ESPAÑOLES";2;2;4
" 02";"MACARENA";"ALBAIDA DEL ALJARAFE";"TOTAL POBLACION";2;2;4
" 02";"MACARENA";"ALCALA DE GUADAIRA";"ESPAÑOLES";20;19;39
" 02";"MACARENA";"ALCALA DE GUADAIRA";"EXTRANJEROS";8;11;19
" 02";"MACARENA";"ALCALA DE GUADAIRA";"TOTAL POBLACION";28;30;58
" 02";"MACARENA";"ALCALA DEL RIO";"ESPAÑOLES";16;15;31
" 02";"MACARENA";"ALCALA DEL RIO";"EXTRANJEROS";2;5;7
" 02";"MACARENA";"ALCALA DEL RIO";"TOTAL POBLACION";18;20;38
" 02";"MACARENA";"ALGABA (LA)";"ESPAÑOLES";24;18;42
" 02";"MACARENA";"ALGABA (LA)";"EXTRANJEROS";1;1;2
" 02";"MACARENA";"ALGABA (LA)";"TOTAL POBLACION";25;19;44
" 02";"MACARENA";"ALMENSILLA";"ESPAÑOLES";4;1;5
" 02";"MACARENA";"ALMENSILLA";"EXTRANJEROS";0;2;2
" 02";"MACARENA";"ALMENSILLA";"TOTAL POBLACION";4;3;7
" 02";"MACARENA";"ARAHAL (EL)";"EXTRANJEROS";1;3;4
" 02";"MACARENA";"ARAHAL (EL)";"TOTAL POBLACION";1;3;4
" 02";"MACARENA";"AZNALCAZAR";"ESPAÑOLES";5;3;8
" 02";"MACARENA";"AZNALCAZAR";"EXTRANJEROS";0;2;2
" 02";"MACARENA";"AZNALCAZAR";"TOTAL POBLACION";5;5;10
" 02";"MACARENA";"AZNALCOLLAR";"ESPAÑOLES";0;1;1
" 02";"MACARENA";"AZNALCOLLAR";"TOTAL POBLACION";0;1;1
" 02";"MACARENA";"BENACAZON";"ESPAÑOLES";0;2;2
" 02";"MACARENA";"BENACAZON";"TOTAL POBLACION";0;2;2
" 02";"MACARENA";"BOLLULLOS DE LA MITACION";"ESPAÑOLES";11;10;21
" 02";"MACARENA";"BOLLULLOS DE LA MITACION";"EXTRANJEROS";0;2;2
" 02";"MACARENA";"BOLLULLOS DE LA MITACION";"TOTAL POBLACION";11;12;23
" 02";"MACARENA";"BORMUJOS";"ESPAÑOLES";14;18;32
" 02";"MACARENA";"BORMUJOS";"EXTRANJEROS";2;6;8
" 02";"MACARENA";"BORMUJOS";"TOTAL POBLACION";16;24;40
" 02";"MACARENA";"BRENES";"ESPAÑOLES";4;3;7
" 02";"MACARENA";"BRENES";"EXTRANJEROS";1;0;1
" 02";"MACARENA";"BRENES";"TOTAL POBLACION";5;3;8
" 02";"MACARENA";"BURGUILLOS";"ESPAÑOLES";11;9;20
" 02";"MACARENA";"BURGUILLOS";"EXTRANJEROS";0;1;1
" 02";"MACARENA";"BURGUILLOS";"TOTAL POBLACION";11;10;21
" 02";"MACARENA";"CABEZAS DE SAN JUAN (LAS)";"ESPAÑOLES";1;2;3
" 02";"MACARENA";"CABEZAS DE SAN JUAN (LAS)";"TOTAL POBLACION";1;2;3
" 02";"MACARENA";"CAMAS";"ESPAÑOLES";13;21;34
" 02";"MACARENA";"CAMAS";"EXTRANJEROS";5;8;13
" 02";"MACARENA";"CAMAS";"TOTAL POBLACION";18;29;47
" 02";"MACARENA";"CAMPANA (LA)";"ESPAÑOLES";2;0;2
" 02";"MACARENA";"CAMPANA (LA)";"TOTAL POBLACION";2;0;2
" 02";"MACARENA";"CANTILLANA";"ESPAÑOLES";2;3;5
" 02";"MACARENA";"CANTILLANA";"EXTRANJEROS";2;0;2
" 02";"MACARENA";"CANTILLANA";"TOTAL POBLACION";4;3;7
" 02";"MACARENA";"CARMONA";"ESPAÑOLES";16;11;27
" 02";"MACARENA";"CARMONA";"EXTRANJEROS";1;2;3
" 02";"MACARENA";"CARMONA";"TOTAL POBLACION";17;13;30
" 02";"MACARENA";"CARRION DE LOS CESPEDES";"ESPAÑOLES";4;1;5
" 02";"MACARENA";"CARRION DE LOS CESPEDES";"EXTRANJEROS";1;0;1
" 02";"MACARENA";"CARRION DE LOS CESPEDES";"TOTAL POBLACION";5;1;6
" 02";"MACARENA";"CASARICHE";"ESPAÑOLES";1;0;1
" 02";"MACARENA";"CASARICHE";"TOTAL POBLACION";1;0;1
" 02";"MACARENA";"CASTILBLANCO DE LOS ARROYOS";"ESPAÑOLES";6;5;11
" 02";"MACARENA";"CASTILBLANCO DE LOS ARROYOS";"TOTAL POBLACION";6;5;11
" 02";"MACARENA";"CASTILLEJA DE GUZMAN";"ESPAÑOLES";3;4;7
" 02";"MACARENA";"CASTILLEJA DE GUZMAN";"EXTRANJEROS";1;3;4
" 02";"MACARENA";"CASTILLEJA DE GUZMAN";"TOTAL POBLACION";4;7;11
" 02";"MACARENA";"CASTILLEJA DE LA CUESTA";"ESPAÑOLES";9;8;17
" 02";"MACARENA";"CASTILLEJA DE LA CUESTA";"EXTRANJEROS";3;4;7
" 02";"MACARENA";"CASTILLEJA DE LA CUESTA";"TOTAL POBLACION";12;12;24
" 02";"MACARENA";"CASTILLO DE LAS GUARDAS (EL)";"ESPAÑOLES";0;1;1
" 02";"MACARENA";"CASTILLO DE LAS GUARDAS (EL)";"TOTAL POBLACION";0;1;1
" 02";"MACARENA";"CAZALLA DE LA SIERRA";"ESPAÑOLES";3;3;6
" 02";"MACARENA";"CAZALLA DE LA SIERRA";"EXTRANJEROS";1;2;3
" 02";"MACARENA";"CAZALLA DE LA SIERRA";"TOTAL POBLACION";4;5;9
" 02";"MACARENA";"CONSTANTINA";"ESPAÑOLES";1;2;3
" 02";"MACARENA";"CONSTANTINA";"TOTAL POBLACION";1;2;3
" 02";"MACARENA";"CORIA DEL RIO";"ESPAÑOLES";9;6;15
" 02";"MACARENA";"CORIA DEL RIO";"EXTRANJEROS";6;6;12
" 02";"MACARENA";"CORIA DEL RIO";"TOTAL POBLACION";15;12;27
" 02";"MACARENA";"CORIPE";"ESPAÑOLES";0;1;1
" 02";"MACARENA";"CORIPE";"TOTAL POBLACION";0;1;1
" 02";"MACARENA";"DOS HERMANAS";"ESPAÑOLES";29;39;68
" 02";"MACARENA";"DOS HERMANAS";"EXTRANJEROS";5;3;8
" 02";"MACARENA";"DOS HERMANAS";"TOTAL POBLACION";34;42;76
" 02";"MACARENA";"ECIJA";"ESPAÑOLES";1;1;2
" 02";"MACARENA";"ECIJA";"EXTRANJEROS";1;0;1
" 02";"MACARENA";"ECIJA";"TOTAL POBLACION";2;1;3
" 02";"MACARENA";"ESPARTINAS";"ESPAÑOLES";16;18;34
" 02";"MACARENA";"ESPARTINAS";"EXTRANJEROS";1;0;1
" 02";"MACARENA";"ESPARTINAS";"TOTAL POBLACION";17;18;35
" 02";"MACARENA";"FUENTES DE ANDALUCIA";"EXTRANJEROS";0;2;2
" 02";"MACARENA";"FUENTES DE ANDALUCIA";"TOTAL POBLACION";0;2;2
" 02";"MACARENA";"GARROBO (EL)";"EXTRANJEROS";0;1;1
" 02";"MACARENA";"GARROBO (EL)";"TOTAL POBLACION";0;1;1
" 02";"MACARENA";"GELVES";"ESPAÑOLES";5;7;12
" 02";"MACARENA";"GELVES";"EXTRANJEROS";1;4;5
" 02";"MACARENA";"GELVES";"TOTAL POBLACION";6;11;17
" 02";"MACARENA";"GERENA";"ESPAÑOLES";7;8;15
" 02";"MACARENA";"GERENA";"EXTRANJEROS";0;2;2
" 02";"MACARENA";"GERENA";"TOTAL POBLACION";7;10;17
" 02";"MACARENA";"GILENA";"ESPAÑOLES";1;0;1
" 02";"MACARENA";"GILENA";"TOTAL POBLACION";1;0;1
" 02";"MACARENA";"GINES";"ESPAÑOLES";4;7;11
" 02";"MACARENA";"GINES";"TOTAL POBLACION";4;7;11
" 02";"MACARENA";"GUADALCANAL";"ESPAÑOLES";1;1;2
" 02";"MACARENA";"GUADALCANAL";"TOTAL POBLACION";1;1;2
" 02";"MACARENA";"GUILLENA";"ESPAÑOLES";6;10;16
" 02";"MACARENA";"GUILLENA";"EXTRANJEROS";0;1;1
" 02";"MACARENA";"GUILLENA";"TOTAL POBLACION";6;11;17
" 02";"MACARENA";"HUEVAR DEL ALJARAFE";"ESPAÑOLES";2;1;3
" 02";"MACARENA";"HUEVAR DEL ALJARAFE";"EXTRANJEROS";0;1;1
" 02";"MACARENA";"HUEVAR DEL ALJARAFE";"TOTAL POBLACION";2;2;4
" 02";"MACARENA";"ISLA MAYOR";"ESPAÑOLES";1;0;1
" 02";"MACARENA";"ISLA MAYOR";"TOTAL POBLACION";1;0;1
" 02";"MACARENA";"LORA DEL RIO";"ESPAÑOLES";0;1;1
" 02";"MACARENA";"LORA DEL RIO";"TOTAL POBLACION";0;1;1
" 02";"MACARENA";"MADROÑO (EL)";"ESPAÑOLES";1;0;1
" 02";"MACARENA";"MADROÑO (EL)";"TOTAL POBLACION";1;0;1
" 02";"MACARENA";"MAIRENA DEL ALCOR";"ESPAÑOLES";9;6;15
" 02";"MACARENA";"MAIRENA DEL ALCOR";"EXTRANJEROS";3;3;6
" 02";"MACARENA";"MAIRENA DEL ALCOR";"TOTAL POBLACION";12;9;21
" 02";"MACARENA";"MAIRENA DEL ALJARAFE";"ESPAÑOLES";19;17;36
" 02";"MACARENA";"MAIRENA DEL ALJARAFE";"EXTRANJEROS";5;6;11
" 02";"MACARENA";"MAIRENA DEL ALJARAFE";"TOTAL POBLACION";24;23;47
" 02";"MACARENA";"MARCHENA";"EXTRANJEROS";1;0;1
" 02";"MACARENA";"MARCHENA";"TOTAL POBLACION";1;0;1
" 02";"MACARENA";"MOLARES (LOS)";"ESPAÑOLES";0;2;2
" 02";"MACARENA";"MOLARES (LOS)";"TOTAL POBLACION";0;2;2
" 02";"MACARENA";"MONTELLANO";"ESPAÑOLES";1;1;2
" 02";"MACARENA";"MONTELLANO";"EXTRANJEROS";0;1;1
" 02";"MACARENA";"MONTELLANO";"TOTAL POBLACION";1;2;3
" 02";"MACARENA";"MORON DE LA FRONTERA";"ESPAÑOLES";3;4;7
" 02";"MACARENA";"MORON DE LA FRONTERA";"EXTRANJEROS";2;0;2
" 02";"MACARENA";"MORON DE LA FRONTERA";"TOTAL POBLACION";5;4;9
" 02";"MACARENA";"NAVAS DE LA CONCEPCION (LAS)";"EXTRANJEROS";3;2;5
" 02";"MACARENA";"NAVAS DE LA CONCEPCION (LAS)";"TOTAL POBLACION";3;2;5
